0.21094,0.49219,0
0.32422,0.53516,0.011768
0.67578,0.67578,0.023535
0.96484,0.75781,0.035303
1.2109,0.82422,0.047071
1.4141,0.88281,0.058838
1.6758,0.94531,0.070606
1.8828,1.0234,0.082374
2.1289,1.1016,0.094141
2.375,1.1758,0.10591
2.6055,1.2578,0.11768
2.793,1.3203,0.12944
3.0586,1.4141,0.14121
3.3008,1.5078,0.15298
3.5508,1.5977,0.16475
3.7852,1.6836,0.17652
4,1.7656,0.18828
4.2383,1.8906,0.20005
4.4883,2.0078,0.21182
4.7227,2.1172,0.22359
4.9102,2.2109,0.23535
5.0781,2.3047,0.24712
5.293,2.4141,0.25889
5.4844,2.5352,0.27066
5.6523,2.6367,0.28242
5.8438,2.7539,0.29419
6.1133,2.9141,0.30596
6.3203,3.0664,0.31773
6.4258,3.1836,0.32949
6.5469,3.3086,0.34126
6.6875,3.4375,0.35303
6.8242,3.582,0.3648
6.9922,3.7188,0.37657
7.0977,3.832,0.38833
7.2344,3.9648,0.4001
7.4141,4.1016,0.41187
7.5859,4.2461,0.42364
7.6523,4.3789,0.4354
7.7734,4.5195,0.44717
7.8594,4.6328,0.45894
7.9023,4.7539,0.47071
7.9414,4.8672,0.48247
8.0391,4.9648,0.49424
8.1445,5.0977,0.50601
8.25,5.2227,0.51778
8.2813,5.3203,0.52955
8.3398,5.4531,0.54131
8.4141,5.582,0.55308
8.5391,5.6953,0.56485
8.6289,5.793,0.57662
8.707,5.8867,0.58838
8.7188,5.9922,0.60015
8.7422,6.0898,0.61192
8.8672,6.2109,0.62369
8.9102,6.3242,0.63545
8.9414,6.418,0.64722
8.9961,6.5313,0.65899
9.0117,6.6133,0.67076
9.0742,6.7148,0.68253
9.1016,6.8008,0.69429
9.1094,6.8945,0.70606
9.1563,6.9844,0.71783
9.1641,7.0547,0.7296
9.1875,7.1367,0.74136
9.2461,7.2188,0.75313
9.2695,7.2969,0.7649
9.3047,7.3906,0.77667
9.332,7.4688,0.78843
9.3359,7.5469,0.8002
9.3086,7.6172,0.81197
9.3633,7.7031,0.82374
9.3867,7.7813,0.83551
9.3672,7.8438,0.84727
9.3477,7.9063,0.85904
9.3555,7.9922,0.87081
9.3906,8.0664,0.88258
9.3828,8.1484,0.89434
9.3711,8.1992,0.90611
9.3672,8.25,0.91788
9.3828,8.3203,0.92965
9.3867,8.3828,0.94141
9.4414,8.4648,0.95318
9.4648,8.543,0.96495
9.4414,8.5938,0.97672
9.4609,8.6641,0.98848
9.4805,8.7383,1.0003
9.4609,8.793,1.012
9.4297,8.8477,1.0238
9.4258,8.9141,1.0356
9.4336,8.9609,1.0473
9.4688,9.0273,1.0591
9.4766,9.0859,1.0709
9.4727,9.1289,1.0826
9.5039,9.1914,1.0944
9.5039,9.2383,1.1062
9.5313,9.2891,1.1179
9.5547,9.3477,1.1297
9.5703,9.3945,1.1415
9.5664,9.457,1.1532
9.5781,9.5039,1.165
9.582,9.5547,1.1768
9.5859,9.6055,1.1885
9.5938,9.6523,1.2003
9.6055,9.7031,1.2121
9.6172,9.75,1.2238
9.6328,9.7969,1.2356
9.6523,9.8398,1.2474
9.668,9.875,1.2591
9.6953,9.9258,1.2709
9.7188,9.9688,1.2827
9.7422,10.02,1.2944
9.7422,10.051,1.3062
9.7656,10.098,1.318
9.7891,10.137,1.3297
9.8047,10.172,1.3415
9.8281,10.211,1.3533
9.8242,10.242,1.3651
9.8477,10.277,1.3768
9.875,10.313,1.3886
9.8984,10.355,1.4004
9.9102,10.391,1.4121
9.9453,10.438,1.4239
9.9688,10.48,1.4357
9.9844,10.52,1.4474
9.9961,10.555,1.4592
10.023,10.598,1.471
10.035,10.633,1.4827
10.055,10.66,1.4945
10.055,10.695,1.5063
10.078,10.742,1.518
10.09,10.777,1.5298
10.109,10.816,1.5416
10.129,10.852,1.5533
10.145,10.887,1.5651
10.148,10.918,1.5769
10.156,10.953,1.5886
10.156,10.988,1.6004
10.16,11.02,1.6122
10.176,11.055,1.6239
10.176,11.094,1.6357
10.176,11.121,1.6475
10.191,11.145,1.6592
10.199,11.18,1.671
10.223,11.219,1.6828
10.234,11.254,1.6945
10.25,11.285,1.7063
10.273,11.324,1.7181
10.293,11.359,1.7298
10.305,11.391,1.7416
10.32,11.418,1.7534
10.324,11.453,1.7652
10.344,11.48,1.7769
10.371,11.512,1.7887
10.387,11.547,1.8005
10.406,11.582,1.8122
10.43,11.625,1.824
10.449,11.66,1.8358
10.465,11.691,1.8475
10.48,11.73,1.8593
10.504,11.766,1.8711
10.523,11.797,1.8828
10.547,11.848,1.8946
10.57,11.879,1.9064
10.594,11.91,1.9181
10.621,11.949,1.9299
10.641,11.977,1.9417
10.656,12,1.9534
10.684,12.035,1.9652
10.707,12.07,1.977
10.734,12.105,1.9887
10.762,12.141,2.0005
10.793,12.18,2.0123
10.824,12.219,2.024
10.852,12.258,2.0358
10.887,12.297,2.0476
10.906,12.332,2.0593
10.934,12.371,2.0711
10.961,12.41,2.0829
10.988,12.441,2.0946
11.023,12.488,2.1064
11.059,12.527,2.1182
11.082,12.57,2.1299
11.109,12.609,2.1417
11.129,12.645,2.1535
11.156,12.68,2.1653
11.18,12.719,2.177
11.203,12.75,2.1888
11.238,12.789,2.2006
11.27,12.828,2.2123
11.293,12.863,2.2241
11.316,12.895,2.2359
11.34,12.93,2.2476
11.363,12.965,2.2594
11.395,13.004,2.2712
11.422,13.043,2.2829
11.445,13.074,2.2947
11.453,13.09,2.3065
11.469,13.105,2.3182
11.48,13.121,2.33
